trade_id,side,level_type,level_row,level_detected_at,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,holding_minutes
1,short,support,55,2024-08-14 08:00:00,2024-08-14 12:38:00,2024-08-14 13:29:00,78.63,78.47,78.47,78.95,take_profit,0.16,51
2,short,support,178,2024-08-18 23:00:00,2024-08-19 11:13:00,2024-08-19 16:03:00,75.1,74.636,74.636,75.919,take_profit,0.464,290
3,short,support,235,2024-08-20 04:00:00,2024-08-21 07:40:00,2024-08-21 09:29:00,73.05,73.51,72.82,73.51,stop_loss,-0.46,109
4,short,support,287,2024-08-21 06:30:00,2024-08-22 14:51:00,2024-08-23 09:15:00,72.97,73.87,71.858,73.87,stop_loss,-0.9,1104
5,short,support,157,2024-08-16 12:00:00,2024-08-23 12:08:00,2024-08-26 06:44:00,74.52,75.609,73.344,75.609,stop_loss,-1.089,3996
6,short,support,90,2024-08-15 02:00:00,2024-08-26 11:29:00,2024-08-26 13:30:00,76.93,77.488,75.938,77.488,stop_loss,-0.558,121
7,long,resistance,136,2024-08-16 01:30:00,2024-08-27 08:31:00,2024-08-27 14:22:00,76.91,76.334,77.198,76.334,stop_loss,-0.576,351
8,long,resistance,161,2024-08-16 14:00:00,2024-08-27 15:38:00,2024-08-28 08:06:00,76.01,75.1,76.82,75.1,stop_loss,-0.91,988
9,long,resistance,249,2024-08-20 11:00:00,2024-08-28 11:09:00,2024-08-28 12:07:00,73.97,74.465,74.465,73.05,take_profit,0.495,58
10,long,resistance,393,2024-08-23 12:30:00,2024-08-28 14:42:00,2024-08-29 13:22:00,74.52,75.609,75.609,73.05,take_profit,1.089,1360
11,short,support,481,2024-08-27 09:30:00,2024-08-29 13:40:00,2024-08-29 14:02:00,76.5,76.869,75.844,76.869,stop_loss,-0.369,22
12,long,resistance,208,2024-08-19 14:00:00,2024-08-29 16:50:00,2024-08-29 17:32:00,75.73,75.928,75.928,75.42,take_profit,0.198,42
13,long,resistance,513,2024-08-28 02:00:00,2024-08-30 09:32:00,2024-08-30 10:51:00,75.95,76.1885,76.1885,75.473,take_profit,0.2385,79
14,long,resistance,355,2024-08-22 17:00:00,2024-08-30 18:29:00,2024-09-01 23:40:00,73.52,73.05,73.925,73.05,stop_loss,-0.47,3191
15,short,support,4,2024-09-02 00:00:00,2024-09-03 12:17:00,2024-09-03 12:20:00,72.95,72.85,72.85,73.15,take_profit,0.1,3
16,short,support,76,2024-09-03 15:00:00,2024-09-04 09:19:00,2024-09-04 09:43:00,70.38,70.06,70.06,70.58,take_profit,0.32,24
17,short,support,311,2024-08-21 18:30:00,2024-09-04 10:57:00,2024-09-04 12:11:00,71.46,70.596,70.596,72.972,take_profit,0.864,74
18,long,resistance,86,2024-09-03 20:00:00,2024-09-04 13:06:00,2024-09-04 13:07:00,70.43,70.23,70.79,70.23,stop_loss,-0.2,1
19,long,resistance,106,2024-09-04 06:30:00,2024-09-04 13:08:00,2024-09-04 13:48:00,70.11,69.534,70.398,69.534,stop_loss,-0.576,40
20,short,support,133,2024-09-04 20:00:00,2024-09-09 07:26:00,2024-09-09 07:32:00,68.82,68.72,68.72,69.02,take_profit,0.1,6
21,long,resistance,323,2024-09-10 21:00:00,2024-09-11 14:13:00,2024-09-11 14:32:00,66.43,65.91,67.366,65.91,stop_loss,-0.52,19
22,short,support,109,2024-09-04 08:00:00,2024-09-12 15:00:00,2024-09-12 15:27:00,69.19,69.782,68.894,69.782,stop_loss,-0.592,27
23,long,resistance,284,2024-09-10 01:30:00,2024-09-12 18:18:00,2024-09-13 08:57:00,69.08,69.548,69.548,68.82,take_profit,0.468,879
